100	2
-0.711235	-1.69953	
-0.642839	-1.28753	
-1.09038	-1.06458	
-1.21817	-0.259876	
-1.2059	-0.842923	
-0.745885	-1.00911	
-0.746496	-0.766282	
-1.01819	-1.13348	
-0.619797	-0.99589	
-1.23229	-0.700303	
-1.09537	-0.960197	
-1.0382	-1.05888	
-1.18212	-1.56641	
-0.67809	-0.727345	
-1.56106	-0.891143	
-1.23858	-0.867031	
-0.250603	-0.839113	
-0.999856	-0.91277	
-0.867204	-1.12405	
-1.18927	-0.550537	
-1.00931	-0.889561	
-1.00129	-1.30658	
-1.37675	-1.42248	
-0.948108	-1.09873	
-1.1574	-0.72943	
-1.25874	-1.1369	
-1.39597	-0.783944	
-1.04581	-0.552621	
-0.570073	-0.857389	
-1.30247	-0.936566	
-0.523107	-0.17727	
-1.1124	-0.913892	
-0.948248	-1.99045	
-0.568111	-1.31045	
-1.15962	-1.28397	
-0.493705	-1.69442	
-0.566714	-0.716967	
-0.688626	-1.30744	
-1.06081	-0.987507	
-0.844401	-0.891793	
-1.29705	-1.16262	
-1.06505	-0.839796	
-0.902123	-1.19078	
-0.892891	-1.15743	
-0.851629	-0.751176	
-0.809328	-1.0519	
-1.58422	-0.996338	
-0.934534	-1.20256	
-1.06002	-1.30962	
-0.889707	-1.28763	
1.38753	1.29779	
0.913247	1.05201	
1.51937	0.924639	
1.05117	0.264716	
0.537972	0.94292	
1.41959	1.31058	
0.797185	1.10188	
1.18872	0.901565	
1.40202	1.07483	
0.380498	0.964659	
1.1361	1.07197	
0.526701	0.230295	
1.05113	1.04276	
0.669532	1.39885	
0.933105	0.700478	
0.894616	1.06189	
1.33902	0.99119	
1.07366	1.169	
0.954882	0.844027	
1.03604	1.01172	
1.16893	0.951267	
0.940403	0.81693	
1.03258	1.3089	
0.877886	1.02429	
0.56445	1.01714	
0.616742	0.700829	
1.21276	1.10497	
0.739262	0.815132	
0.800455	0.530862	
1.4672	1.28835	
1.03803	1.2541	
0.926844	0.81026	
0.521411	1.25873	
1.07921	1.00782	
0.266345	0.693569	
0.574269	0.955429	
1.09646	0.87389	
1.73841	1.17879	
0.436179	1.03576	
1.30417	1.17612	
0.726109	0.581359	
1.05731	0.321402	
0.894136	1.02656	
1.11851	1.06286	
1.20623	0.744615	
0.652674	1.12123	
0.910059	0.765513	
0.896647	1.55803	
0.489144	1.69456	
1.30294	1.74888	
